Data for the period_JAN2017,RTGSvolume,NEFTvolume,CTS*volume,IMPS*volume,NACH*volume,UPI*volume,USSD**volume (in thousand),Debit and Credit Cards at POS &volume,PPI #volume,Mobile Bankingvolume,Totalvolume
1,h,h,h,1.6,h,0.1,5.5,9.9,3.2,2.2,14.8
2,0.4,11.4,4.8,2.7,7.2,0.1,7.0,11.1,3.2,3.1,40.9
3,0.4,7.7,4.8,2.5,5.2,0.1,4.4,9.6,3.0,2.9,33.3
4,0.4,8.0,5.1,2.5,4.3,0.2,10.9,9.2,3.0,2.8,32.6
5,0.3,7.5,4.4,2.4,10.3,0.2,10.8,8.9,3.0,2.7,37.1
6,0.4,7.7,5.4,2.3,3.0,0.2,12.3,9.3,3.0,2.4,31.3
7,0.3,6.9,4.9,2.1,9.4,0.2,11.4,9.1,2.9,2.6,35.8
8,h,h,h,1.4,h,0.1,9.2,9.6,2.6,1.9,13.8
9,0.4,8.0,5.4,2.6,8.8,0.2,12.0,10.0,2.9,2.6,38.3
10,0.4,7.7,5.7,2.4,8.3,0.2,12.5,8.8,2.8,2.4,36.3
11,0.4,7.1,5.4,2.4,7.8,0.2,12.2,8.4,2.9,2.3,34.6
12,0.4,6.7,5.0,2.3,9.6,0.2,11.7,8.4,2.8,2.3,35.4
13,0.4,6.9,5.1,2.2,4.2,0.2,11.2,9.0,2.8,2.2,30.7
14,h,h,h,1.4,h,0.1,9.8,7.7,2.7,1.6,12.0
15,h,h,h,1.1,h,0.1,8.6,7.7,2.6,1.4,11.5
16,0.4,6.9,5.6,2.2,8.4,0.1,11.0,9.9,2.9,2.0,36.5
17,0.4,5.4,5.3,2.1,5.6,0.1,10.8,7.9,2.8,2.0,29.6
18,0.4,6.0,5.3,2.1,6.0,0.1,10.4,7.8,2.8,2.0,30.4
19,0.4,5.4,5.1,2.0,6.3,0.1,11.5,7.3,2.8,1.9,29.3
20,0.4,5.4,4.7,1.9,6.8,0.1,12.6,7.9,2.8,1.9,30.1
21,0.3,4.5,4.6,1.7,8.0,0.1,12.1,7.5,2.7,1.8,29.5
22,h,h,h,1.2,h,0.1,10.4,8.1,2.6,1.5,12.0
23,0.4,5.5,4.7,2.1,6.5,0.1,12.1,8.6,2.7,2.0,30.8
24,0.4,5.9,5.0,2.1,3.5,0.1,12.0,8.1,2.8,2.0,27.9
25,0.5,6.2,4.9,2.0,4.6,0.1,11.7,8.3,2.9,1.8,29.5
26,h,h,h,1.2,h,0.1,9.3,7.1,2.6,1.3,11.1
27,0.5,7.3,5.1,2.1,7.9,0.1,10.6,8.2,2.8,2.0,34.0
28,h,h,h,1.7,h,0.1,7.6,6.6,2.8,1.5,11.2
29,h,h,h,1.1,h,0.1,6.8,7.8,2.6,1.4,11.5
30,0.6,8.8,6.4,2.3,10.2,0.1,8.6,5.0,2.8,1.9,36.2
31,0.5,11.3,5.9,2.7,6.8,0.1,7.5,,2.9,2.6,30.1
