policyID,statecode,tiv_2015,tiv_2016,Residential,Commercial
119736,NCR,498960,792148.9,1,0
448094,NCR,1322376.3,1438163.57,1,0
206893,NCR,190724.4,192476.78,1,0
333743,NCR,79520.76,86854.48,1,0
172534,NCR,254281.5,246144.49,1,0
785275,NCR,515035.62,884419.17,1,0
995932,NCR,19260000,20610000,0,1
223488,NCR,328500,348374.25,1,0
433512,NCR,315000,265821.57,1,0
142071,NCR,705600,1010842.56,1,0
253816,NCR,831498.3,1117791.48,1,0
894922,NCR,24059.09,33952.19,1,0
422834,NCR,48115.94,66755.39,1,0
582721,NCR,28869.12,42826.99,1,0
842700,NCR,56135.64,50656.8,1,0
874333,NCR,48115.94,67905.07,1,0
580146,NCR,48115.94,66938.9,1,0
456149,NCR,80192.49,86421.04,1,0
767862,NCR,48115.94,73798.5,1,0
353022,NCR,60946.79,62467.29,1,0
367814,NCR,28869.12,42727.74,1,0
671392,NCR,13410000,11700000,0,1
772887,NCR,1669113.93,2099127.76,1,0
983122,NCR,179562.23,211372.57,1,0
934215,NCR,177744.16,157171.16,1,0
385951,NCR,17757.58,16948.72,1,0
716332,NCR,130129.87,101758.43,1,0
751262,NCR,42854.77,63592.88,1,0
633663,NCR,785.58,662.18,1,0
105851,NCR,170361.91,177176.38,1,0
710400,NCR,1430.89,1861.41,1,0
703001,NCR,129913.27,101692.86,1,0
352792,NCR,366285.62,507164.19,1,0
717603,NCR,22512.61,28637.17,1,0
937659,NCR,9246.6,10880.22,1,0
294022,NCR,96164.64,69357.78,1,0
410500,NCR,11095.92,12737.89,1,0
524433,NCR,218475,199030.29,1,0
779298,NCR,1400904,1772984.1,1,0
491831,NCR,4365,4438.05,1,0
814637,NCR,4365,6095.72,1,0
737515,NCR,39789,58106.58,1,0
222653,NCR,24867,18969.79,1,0
788543,NCR,213876,261435.18,1,0
691681,NCR,69435,93674.34,1,0
368807,NCR,14922,12333.03,1,0
174002,NCR,165546,239134.51,1,0
198760,NCR,72837,86637.86,1,0
831395,NCR,72837,98147.86,1,0
305698,NCR,19440,30658.59,1,0
515722,NCR,9945,11551.12,1,0
415582,NCR,255878.61,345894.66,1,0
783533,NCR,153527.17,138228.8,1,0
640802,NCR,255878.61,177339.74,1,0
403866,NCR,102351.45,95132.8,1,0
828788,NCR,155489.66,145139.65,1,0
751490,NCR,137233.8,114919.58,1,0
972562,NCR,123596.05,183015.09,1,0
367541,NCR,107111.11,88218.85,1,0
481360,NCR,96309.32,85911,1,0
920232,NCR,104031.7,168443.97,1,0
727659,NCR,338944.5,485816.61,1,0
471817,NCR,272349,414565.56,1,0
983043,NCR,129690,129635.53,1,0
578286,NCR,123210,120345.61,1,0
347276,NCR,3698.64,3939.13,1,0
477786,NCR,2115760.5,3057739.39,0,1
265907,NCR,93548.58,118401.07,1,0
107560,NCR,1037311.14,1487255.23,1,0
908183,NCR,15463.3,11825.56,1,0
356024,NCR,13893.35,13988.5,1,0
575299,NCR,316618.23,230328.99,1,0
790478,NCR,54834.66,63053.72,1,0
801776,NCR,295269.11,488965.65,1,0
291781,NCR,723734.17,955908.09,1,0
537286,NCR,1741572,1455184.42,1,0
289305,NCR,135450,164978.1,1,0
697409,NCR,60300,77678.46,1,0
633944,NCR,22500,19501.76,1,0
963511,NCR,34212.42,33250.37,1,0
729649,NCR,460128.2,626142.46,1,0
862584,NCR,32169.69,37291.11,1,0
371891,NCR,50550.75,49526.38,1,0
785595,NCR,42300,53762.62,1,0
567696,NCR,10171.26,16798.29,1,0
219025,NCR,155342.88,176189.89,1,0
447216,NCR,3698.64,4424.48,1,0
305141,NCR,4623.3,4525.86,1,0
625575,NCR,33287.76,27375.62,1,0
262109,NCR,21267.18,24840.49,1,0
228457,NCR,729556.74,889825.76,1,0
622799,NCR,350446.14,438049.26,1,0
233271,NCR,2135964.6,1728721.59,0,1
932950,NCR,4623.3,4782.1,1,0
641952,NCR,2469639.6,2708463.63,0,1
796260,NCR,914073.3,1296439.3,1,0
301822,NCR,3042940.5,3181868.99,0,1
559927,NCR,234997.65,255975.89,1,0
224400,NCR,912600,1147247.71,1,0
123936,NCR,1920744.9,2837762.3,0,1
333818,NCR,455754.6,696809.59,1,0
254323,NCR,1552693.95,1552594.58,1,0
247444,NCR,8910,13521.83,1,0
882598,NCR,398968.2,424087.24,1,0
