Spends,Spends band,Fraud,Type of swipe
246947.7,3,0,Online 
403718.5,3,0,Online 
224038.5,3,0,Online 
1998827.7,3,0,Online 
112187.7,2,0,Online 
424718.6,3,0,Online 
11230,1,0,Online 
19989.4,1,0,Online 
1121090.9,3,0,Online 
1705163.2,3,0,Online 
52781,1,0,Online 
555435.8,3,0,Online 
33577.7,1,0,Online 
56150,1,0,Online 
179567.7,3,0,Online 
78497.7,2,0,Online 
258290,3,0,Online 
14486.7,1,0,Online 
482890,3,0,Online 
11230,1,0,Online 
11230,1,0,Online 
714677.2,3,0,Online 
740057,3,0,Online 
4216865,3,0,Online 
17294.2,1,0,Online 
1181845.2,3,0,Online 
56037.7,1,0,Online 
11230,1,0,Online 
8647.1,1,0,Online 
86358.7,2,0,Online 
263905,3,0,Online 
5379170,3,0,Online 
78497.7,2,0,Online 
1177465.5,3,0,Online 
9332130,3,0,Online 
168337.7,2,0,Online 
10982940,3,0,Online 
336900,3,0,Online 
132963.2,2,0,Online 
22235.4,1,0,Online 
1426659.2,3,0,Online 
179118.5,3,0,Online 
142733.3,2,0,Online 
87594,2,0,Online 
224038.5,3,0,Online 
11230,1,0,Online 
504788.5,3,0,Online 
1141529.5,3,0,Online 
253236.5,3,0,Online 
25604.4,1,0,Online 
244814,3,0,Online 
190797.7,3,0,Online 
17518.8,1,0,Online 
84786.5,2,0,Online 
89840,2,0,Online 
108706.4,2,0,Online 
336787.7,3,0,Online 
67267.7,2,0,Online 
2686889.8,3,0,Online 
134760,2,0,Online 
3582370,3,0,Online 
454478.1,3,0,Online 
841688.5,3,0,Online 
11117.7,1,0,Online 
72433.5,2,0,Online 
30208.7,1,0,Online 
577783.5,3,0,Online 
588452,3,0,Online 
616302.4,3,0,Online 
280750,3,0,Online 
167888.5,2,0,Online 
228530.5,3,0,Online 
55700.8,1,0,Online 
30096.4,1,0,Online 
178893.9,3,0,Online 
561500,3,0,Online 
224487.7,3,0,Online 
785426.2,3,0,Online 
831020,3,0,Online 
280750,3,0,Online 
774870,3,0,Online 
358124.7,3,0,Online 
4742990.5,3,0,Online 
40203.4,1,0,Online 
4972531.7,3,0,Online 
3637958.5,3,0,Online 
67380,2,0,Online 
44246.2,1,0,Online 
25941.3,1,0,Online 
673800,3,0,Online 
1596793.7,3,0,Online 
713329.6,3,0,Online 
851907.8,3,1,Online 
0,1,0,Online 
2919.8,1,0,Online 
957357.5,3,0,Online 
100957.7,2,0,Online 
339595.2,3,0,Online 
22235.4,1,0,Online 
2942260,3,0,Online 
716698.6,3,0,Online 
302985.4,3,0,Online 
1123000,3,0,Online 
76364,2,0,Online 
380584.7,3,0,Online 
2562798.3,3,0,Online 
9994.7,1,0,Online 
112187.7,2,0,Online 
112187.7,2,0,Online 
1821393.7,3,0,Online 
426740,3,0,Online 
2340668.9,3,0,Online 
774870,3,0,Online 
89727.7,2,0,Online 
1235300,3,0,Online 
114546,2,0,Online 
44920,1,0,Online 
109155.6,2,0,Online 
346670.1,3,0,Online 
224600,3,0,Online 
618436.1,3,0,Online 
314440,3,0,Online 
608216.8,3,0,Online 
4929970,3,0,Online 
360370.7,3,0,Online 
129145,2,0,Online 
8590950,3,0,Online 
511526.5,3,0,Online 
565205.9,3,0,Online 
3200550,3,0,Online 
24706,1,0,Online 
1611280.4,3,0,Online 
8976251.3,3,0,Online 
887170,3,0,Online 
2263406.5,3,0,Online 
41438.7,1,0,Online 
9994.7,1,0,Online 
202027.7,3,0,Online 
3665022.8,3,0,Online 
112300,2,0,Online 
1010587.7,3,0,Online 
258851.5,3,0,Online 
49075.1,1,0,Online 
112187.7,2,0,Online 
1963902.4,3,0,Online 
2367508.6,3,0,Online 
1796687.7,3,0,Online 
134760,2,0,Online 
89278.5,2,0,Online 
460654.6,3,0,Online 
516580,3,0,Online 
9994.7,1,0,Online 
78497.7,2,0,Online 
320055,3,0,Online 
167327,2,0,Online 
22460,1,0,Online 
673800,3,0,Online 
1490221,3,0,Online 
1554232,3,0,Online 
1950201.8,3,0,Online 
9994.7,1,0,Online 
11230,1,0,Online 
808560,3,0,Online 
30208.7,1,0,Online 
179343.1,3,0,Online 
168450,3,0,Online 
808335.4,3,0,Online 
561500,3,0,Online 
1052812.5,3,0,Online 
56150,1,0,Online 
50422.7,1,0,Online 
353520.4,3,0,Online 
22460,1,0,Online 
14621460,3,0,Online 
132514,2,0,Online 
1100989.2,3,0,Online 
67380,2,0,Online 
449087.7,3,0,Online 
393050,3,0,Online 
1909100,3,0,Online 
14486.7,1,0,Online 
19647895.7,3,0,Online 
30208.7,1,0,Online 
684468.5,3,0,Online 
112187.7,2,0,Online 
11230,1,0,Online 
11230,1,0,Online 
3099480,3,0,Online 
3133170,3,0,Online 
56150,1,0,Online 
274012,3,0,Online 
3298475.6,3,0,Online 
663356.1,3,0,Online 
660548.6,3,0,Online 
889416,3,0,Online 
100845.4,2,0,Online 
22460,1,0,Online 
169909.9,3,0,Online 
22235.4,1,0,Online 
224487.7,3,0,Online 
11230,1,0,Online 
514895.5,3,0,Online 
55027,1,0,Online 
268733.9,3,0,Online 
230888.8,3,0,Online 
1246530,3,0,Online 
20101.7,1,0,Online 
392937.7,3,0,Online 
0,1,1,Online 
2133475.4,3,0,Online 
179118.5,3,0,Online 
101070,2,0,Online 
763640,3,0,Online 
22235.4,1,0,Online 
11117.7,1,0,Online 
1774340,3,0,Online 
2912949.7,3,0,Online 
8534.8,1,0,Online 
14486.7,1,0,Online 
22235.4,1,0,Online 
5681593.9,3,0,Online 
8647.1,1,0,Online 
757463.5,3,0,Online 
440216,3,0,Online 
449200,3,0,Online 
291980,3,0,Online 
12845323.2,3,0,Online 
1756596.6,3,0,Online 
352509.7,3,0,Online 
261322.1,3,0,Online 
129145,2,0,Online 
1410151.1,3,0,Online 
126562.1,2,0,Online 
9994.7,1,0,Online 
20101.7,1,0,Online 
1023614.5,3,0,Online 
134198.5,2,0,Online 
165193.3,2,0,Online 
370590,3,0,Online 
1900677.5,3,0,Online 
1684500,3,0,Online 
11230,1,0,Online 
67267.7,2,0,Online 
887170,3,0,Online 
28075,1,0,Online 
662570,3,0,Online 
561387.7,3,0,Online 
943656.9,3,0,Online 
224600,3,0,Online 
336338.5,3,0,Online 
560377,3,0,Online 
11230,1,0,Online 
8104915.6,3,0,Online 
1125021.4,3,0,Online 
111738.5,2,0,Online 
8534.8,1,0,Online 
50422.7,1,0,Online 
22235.4,1,0,Online 
3208411,3,0,Online 
4325571.4,3,0,Online 
3357770,3,0,Online 
690308.1,3,0,Online 
3065790,3,0,Online 
2818730,3,0,Online 
322862.5,3,0,Online 
112187.7,2,0,Online 
20101.7,1,0,Online 
1010587.7,3,0,Online 
8647.1,1,0,Online 
30208.7,1,0,Online 
134647.7,2,0,Online 
8759.4,1,0,Online 
954550,3,0,Online 
89727.7,2,0,Online 
672677,3,0,Online 
687837.5,3,0,Online 
22235.4,1,0,Online 
70412.1,2,0,Online 
619334.5,3,0,Online 
0,1,0,Online 
283782.1,3,0,Online 
449200,3,0,Online 
920860,3,0,Online 
25604.4,1,0,Online 
1370958.4,3,0,Online 
649206.3,3,0,Online 
392937.7,3,0,Online 
111177,2,0,Online 
22235.4,1,0,Online 
145877.7,2,0,Online 
11230,1,0,Online 
400798.7,3,0,Online 
11230,1,0,Online 
336900,3,0,Online 
28973.4,1,0,Online 
11230,1,0,Online 
55363.9,1,0,Online 
167327,2,0,Online 
303097.7,3,0,Online 
1212840,3,0,Online 
71872,2,0,Online 
14486.7,1,0,Online 
5615000,3,0,Online 
168450,3,0,Online 
526799.3,3,0,Online 
438419.2,3,0,Online 
138241.3,2,0,Online 
2863650,3,0,Online 
1459900,3,0,Online 
648869.4,3,0,Online 
17069.6,1,0,Online 
60080.5,2,0,Online 
100957.7,2,0,Online 
523767.2,3,0,Online 
3995297.1,3,0,Online 
2097090.2,3,0,Online 
376991.1,3,0,Online 
505350,3,0,Online 
112187.7,2,0,Online 
2038245,3,0,Online 
179792.3,3,0,Online 
252675,3,0,Online 
111177,2,0,Online 
3512631.7,3,0,Online 
1111770,3,0,Online 
179680,3,0,Online 
11117.7,1,0,Online 
112187.7,2,0,Online 
22235.4,1,0,Online 
9856571,3,0,Online 
