Country,Number of firms,Sum of Market Cap (in US $),Sum of Total Debt incl leases (in US $),Sum of Firm Value (in US $),Sum of Cash,Sum of Enterprise Value (in US $),Average of Current PE,Average of Trailing PE,Average of Forward PE,Average of PEG,Average of PBV,Average of PS,Average of Cash/ Firm Value,Average of EV/EBIT,Average of EV/EBITDA,Average of EV/Invested Capital,Average of EV/Sales,Average of Payout ratio,Average of Dividend Yield,Average of Historical growth in Net Income - Last 5 years,Average of Historical growth in Revenues - Last 5 years,Average of Expected growth rate in EPS- Next 5 years,Average of Expected growth in revenues - Next 2 years,Average of Return on Equity,Average of Return on Capital (ROC or ROIC),Average of Net Profit Margin,Average of Pre-tax Operating Margin,Average of Effective Tax Rate,Average of % held by institutions,Aggregate PE,Aggregate PBV,Aggregate EV/EBITDA,Aggregate EV/Invested Capital,Aggregate EV/Sales,Aggregate ROE,Aggregate ROC,Aggregate Net Margin,Aggregate Operating Margin,Aggregate Payout ratio,Aggregate Dividend Yield
Anguilla,2,22.832,0.503171412,23.33517141,0.171,23.16417141,,,,,420.3703704,202.6785714,0.077098768,,,1401.372497,202.3408162,,0,,-0.221,,,-1.824858757,-6.420464605,-9.877675841,-8.190930527,0,,,16.33190272,,75.16651613,70.83844468,-2.416309013,,-10.33027523,-8.496740924,,0
Argenti,68,61583.666,35940.86691,97524.53291,7514.184,90010.34891,31.79118087,22.63481412,30.10121758,1.133640652,7.816934231,3.209263097,0.04730223,131.4801896,16.63845656,16.09924346,3.730706245,0.245112713,0.010695803,0.321668421,0.386288387,0.322605882,0.466823529,-0.066317724,0.076191359,0.414752466,-0.020583522,0.207291338,0.126384561,19.45547684,2.286837287,10.7284519,2.151453032,1.850843769,0.008819024,0.082608236,0.004883466,0.088720125,3.71929699,0.014343203
Australia,1531,1199318.071,1201020.738,2400338.809,155533.431,2244805.378,94.78155827,95.26867078,24.07830975,3.303697229,8.325801614,641.1381311,0.156280387,704.7606245,150.2757089,32.78933777,606.6443765,0.895534665,0.011513653,0.090769432,0.050763206,0.178747938,1.31981902,-1.074181169,-5.738862273,-95.54854913,-82.57378745,0.078806402,0.169214098,47.95869588,1.934488126,23.88877632,1.455712351,3.600663457,0.039091242,0.02840063,0.038873318,0.071815122,1.9701867,0.039812622
Austria,71,102221.754,115854.555,218076.309,23387.935,194688.374,24.54855054,19.08523125,43.88967124,2.407208509,1.568979971,1.676776372,0.098899992,671.4851233,143.528965,3.180719941,2.88760188,0.512581554,0.024935485,0.061042955,0.030075172,0.098068966,0.041819048,0.087633617,0.068583751,0.106876312,0.078179847,0.198043764,0.2063775,22.07260254,1.108551894,10.78850709,1.031027902,1.444229541,0.056558644,0.043389858,0.038688554,0.062488302,0.541186693,0.027611504
Azerbaijan,1,33.4,44,77.4,3.26,74.14,,,17.41176471,,0.422250316,0.42765685,0.042118863,24.71333333,3.051028807,0.618658211,0.949295775,,0,,-0.0166,,,-0.043341404,0.022844959,-0.047354497,0.03968254,0,0.4608,,0.404358354,4.05136612,0.564575084,0.980687831,-0.043341404,0.025033378,-0.047354497,0.03968254,,0
Bahamas,5,760.023,462.3661633,1222.389163,178.812,1043.577163,10.53780069,8.686968839,,,5.86403416,15.69384278,0.069757046,5.642857143,7.209082479,10.13592336,15.85990643,0.001175637,2.70667E-05,0.0107,-0.0202,,,-0.403090848,-0.233610096,-53.59755755,-51.40589422,0.029881423,0.092633333,,0.987012093,7.584136359,1.095040608,1.887051396,-0.069657569,0.052355293,-0.096991067,0.128269443,,0.000109207
Bahrain,22,17174.9,16593.38791,33768.28791,10521.22,23247.06791,13.25311286,14.46826633,19.20689655,,0.929640325,5.624763522,0.348524438,584.9222684,424.2513641,1.00823959,7.361357151,0.422585008,0.033666126,0.040607333,0.079297,-0.076,-0.0733,0.068618897,0.038162494,-0.017634927,0.062919709,0.034188284,0.154832,10.73471505,0.884041858,25.75310229,0.966294674,2.948653711,0.078526022,0.011770053,0.19350428,0.042135604,0.481030362,0.042728068
Bangladesh,293,35299.364,11412.49711,46711.86111,8694.325,38017.53611,25.57607332,40.8219333,16.45899733,1.939934037,3.143376487,8.927577069,0.218886192,22.52807663,38.95368604,2.106242598,12.42068491,0.606464444,0.018998082,0.035505769,0.064350965,0.2564,0.11805,0.572139177,0.477412591,0.11381429,0.103633596,0.196514628,0.0944847,13.51000658,2.170086182,12.61524722,2.09779121,2.427639497,0.166267253,0.119413124,0.172701794,0.161396662,0.386538217,0.029615712
Barbados,3,2429.5,756.1935937,3185.693594,1854.8,1330.893594,14.17071149,9.98579772,7.537313433,,0.876069853,1.890063705,0.386233828,40.28047241,25.43918862,0.659339042,1.415224759,0.388383223,0.039101716,0.5975,0.0014,,-0.00594,0.132652196,0.166241065,0.157347418,0.193293486,0.17700976,0.4593,13.52803608,1.277541147,5.26669408,1.50096223,0.783339373,0.113061997,0.297484972,0.126550912,0.175495751,0.357378727,0.031627907
Belgium,144,416566.084,540572.652,957138.736,47446.659,909692.077,67.01203246,74.22525281,18.52765595,5.01744719,2.16757223,883.6852439,0.073868523,1315.770607,297.7712967,2.729241412,733.0631369,0.439786841,0.017867682,0.04492961,0.075950381,0.102225833,0.760116875,0.063953211,-0.234155612,-7.866467617,-6.329406918,0.131009603,0.171637951,18.74289897,2.189192237,24.58523113,1.522481899,4.665142408,0.077068579,0.038536485,0.075205197,0.13093607,0.977644605,0.034417115
Belize,1,7.99,0,7.99,171.2,-163.21,13.31666667,,,,0.142678571,0.327459016,21.42678348,,,,,,0,,,,,-0.05451448,,-0.14159292,0,0,0.0435,,0.136115843,,,,-0.05451448,,-0.14159292,0,,0
Benin,1,268.7,15.8,284.5,20.9,263.6,12.85645933,12.85645933,,,2.481071099,2.044901065,0.073462214,,,2.554263566,2.00608828,0,0,0.137,0.311,,,0.184955752,0,0.159056317,0,0.062162162,,12.85645933,2.377876106,,2.855904659,2.00608828,0.184955752,0,0.159056317,0,0,0
Bermuda,89,219556.175,161460.1432,381016.3182,45923.146,335093.1722,12.79171592,12.88527459,26.98194844,4.768188116,1.122609867,3.394687498,0.153271696,17.81883931,71.96129518,2.80475591,5.458982719,0.412895626,0.027271193,0.142120313,0.047382,0.001952778,0.024745455,-0.012236681,0.629720822,-0.283357691,0.104272685,0.052856175,0.439406914,16.70747536,1.105625253,10.92947871,1.053778825,1.937526659,0.075686211,0.059927924,0.086903363,0.142383289,0.31480706,0.021550298
Botswa,13,3204.6,633.52494,3838.12494,692.959,3145.16594,21.65336411,20.74192958,10.19301471,1.214285714,2.277976804,2.45759775,0.149763688,147.4183704,81.20988212,56.89514841,2.436133687,0.618696767,0.038112542,0.03115,0.091898571,0.06,0.07395,0.204237536,3.627625367,0.134089517,0.157547622,0.204584424,0.316419091,15.33550913,2.277935741,19.52549007,2.802124431,1.546143909,0.158768837,0.087057763,0.109800413,0.060261927,0.64079765,0.044662672
Brazil,181,405682.124,436656.5214,842338.6454,51114.314,791224.3314,66.39938074,54.28043444,24.86389629,4.035524982,2.457207205,10.3532828,0.102816284,19.82430911,18.47917712,2.428303066,15.65282785,0.725637209,0.022802823,-0.010315,0.065289733,0.157798718,0.040815,0.024889881,0.141806297,0.831614596,-2.673896255,0.14141995,0.300672765,118.9310811,2.252229271,19.57543376,1.712726615,2.545918432,0.044838054,0.061199003,0.025987522,0.111892732,1.45086644,0.028884283
British Virgin Islands,24,1488.823,1155.563037,2644.386037,611.848,2032.538037,23.89176703,9.1876706,24.61229947,,0.854939383,215.6890764,0.208716635,11.62378731,11.25202468,1.135229997,197.9879945,0.091449814,0.00354018,0.167,0.1172,,0.0065,-0.304440783,-0.212713768,-11.11161904,-13.21170939,0.089038056,0.193225263,-30.80344692,0.589712979,24.70419978,0.713828204,4.496417395,0.012981169,0.017782309,0.072501023,0.119039881,1.12592683,0.024784679
Bulgaria,112,4392.893,1531.136787,5924.029787,2163.71,3760.319787,203.5746725,71.64829605,16.4504924,,1.483978185,17.06973507,0.129624182,34.19221283,12.95645813,1.772341902,18.6394768,0.513458473,0.005877459,0.059223529,-0.019464242,,0.122816667,-0.030365101,0.008673451,-0.300689466,-0.02148259,0.044635536,0.091239884,30.74985125,1.109162644,10.8915221,1.03072562,0.582816947,0.059978301,0.038944814,0.036817724,0.021031864,0.225033362,0.012168746
Burki Faso,2,891.6,2.66,894.26,20.7,873.56,13.78727435,12.85554802,15.37096774,,2.957524272,1.76650234,0.04201169,8.911966988,,3.50621504,1.736664431,0,0,0.315,0.746,,,0.244200244,0,0.126017246,0.141055491,0.235372727,0.00007,14.35748792,10.88644689,7.716961131,13.06746447,1.559928571,0.829059829,1.129583592,0.12125,0.129821429,0,0
Cambodia,1,1421.3,18.51101988,1439.81102,135.3,1304.51102,8.234646582,7.222052846,8.14084507,,1.644452158,2.821719277,0.093970666,6.565632344,5.290202441,1.745139517,2.589857097,0.526422764,0.072891015,0.233,0.222,,0.142,0.290222681,0.38723338,0.370830978,0.374388159,0.035441176,0.1972,8.234646582,2.096003539,5.862970876,2.635849612,2.458095007,0.290222681,0.265799153,0.370830978,0.374388159,0.526422764,0.072891015
Cameroon,1,691.3,0.133393718,691.4333937,0,691.4333937,26.58846154,26.58846154,,,,1.138692143,0,11.84705357,6.48685049,5183.402967,1.138911866,1.342307692,0.050484594,,,,,,218.7633801,0.042826552,0.096134609,0.5,0.00056,26.58846154,,6.492332335,5183.402967,1.138911866,,437.5267601,0.042826552,0.096134609,1.342307692,0.050484594
Cada,2769,1891093.512,1571582.765,3462676.277,181061.794,3281614.483,114.8846425,80.82780672,37.95685204,20.2276814,8.08963419,114.4475621,0.135955716,145.7922165,134.5561772,21.60773685,118.508696,0.758546715,0.005259948,0.104873059,0.087207188,0.099486828,0.314177387,-1.425646421,-2.323879984,-10.93411454,-9.494871055,0.036545908,0.17002185,237.2087061,1.965674425,18.81472591,1.543020049,2.876782053,0.029124693,0.030380612,0.024563043,0.062472,1.627185503,0.024109424
Cayman Islands,47,19530.606,8994.387866,28524.99387,3777.18,24747.81387,16.8466399,15.25390251,13.79263272,1.608285284,2.811107725,3.398093043,0.191781951,14.27486557,9.886646261,2.917359655,3.644611152,0.376328127,0.017376874,0.151053846,0.031898636,0.216333333,0.157646154,0.031171777,0.084757608,-0.273618407,-0.159090959,0.115010132,0.211294839,,2.465335343,19.51181761,2.08125046,1.92433349,-0.080697149,0.077771017,-0.04970973,0.079825047,,0.009594787
Channel Islands,88,38381.732,15488.57835,53870.31035,12143.866,41726.44435,48.6140563,21.36054936,17.4614541,5.918784927,2.444951056,188.6018848,1.261942336,24.33656933,18.13529058,8.757928857,183.0189243,0.467240899,0.013632514,0.106288947,0.0737985,0.212597778,0.374131563,-8.45056715,-0.066610443,-0.612106777,-0.206242613,0.073391789,0.316809878,30.64189559,1.266098301,15.7145117,1.159298717,2.695241221,0.048796915,0.077251026,0.095551117,0.168313595,0.573937809,0.022120237
