Date,AvgRate
01-01-2005,1.67
01-02-2005,1.66
01-03-2005,1.66
01-04-2005,1.61
01-05-2005,1.59
01-06-2005,1.59
01-07-2005,1.63
01-08-2005,1.74
01-09-2005,1.73
01-10-2005,1.73
01-11-2005,1.74
01-12-2005,1.74
01-01-2006,1.74
01-02-2006,1.75
01-03-2006,1.73
01-04-2006,1.75
01-05-2006,1.71
01-06-2006,1.68
01-07-2006,1.69
01-08-2006,1.7
01-09-2006,1.64
01-10-2006,1.63
01-11-2006,1.64
01-12-2006,1.64
01-01-2007,1.67
01-02-2007,1.66
01-03-2007,1.66
01-04-2007,1.63
01-05-2007,1.63
01-06-2007,1.63
01-07-2007,1.73
01-08-2007,1.71
01-09-2007,1.76
01-10-2007,1.78
01-11-2007,1.79
01-12-2007,1.76
01-01-2008,1.61
01-02-2008,1.47
01-03-2008,1.44
01-04-2008,1.43
01-05-2008,1.35
01-06-2008,1.35
01-07-2008,1.35
01-08-2008,1.26
01-09-2008,1.24
01-10-2008,1.24
01-11-2008,1.31
01-12-2008,1.39
01-01-2009,1.35
01-02-2009,1.41
01-03-2009,1.48
01-04-2009,1.47
01-05-2009,1.59
01-06-2009,1.58
01-07-2009,1.59
01-08-2009,1.59
01-09-2009,1.6
01-10-2009,1.58
01-11-2009,1.57
01-12-2009,1.59
01-01-2010,1.59
01-02-2010,1.62
01-03-2010,1.57
01-04-2010,1.56
01-05-2010,1.62
01-06-2010,1.6
01-07-2010,1.6
01-08-2010,1.56
01-09-2010,1.62
01-10-2010,1.59
01-11-2010,1.6
01-12-2010,1.56
01-01-2011,1.59
01-02-2011,1.65
01-03-2011,1.59
01-04-2011,1.57
01-05-2011,1.59
01-06-2011,1.6
01-07-2011,1.64
01-08-2011,1.59
01-09-2011,1.61
01-10-2011,1.59
01-11-2011,1.6
01-12-2011,1.61
01-01-2012,1.58
01-02-2012,1.59
01-03-2012,1.6
01-04-2012,1.61
01-05-2012,1.59
01-06-2012,1.56
01-07-2012,1.6
01-08-2012,1.61
01-09-2012,1.59
01-10-2012,1.58
01-11-2012,1.59
01-12-2012,1.59
01-01-2013,1.63
01-02-2013,1.57
01-03-2013,1.58
01-04-2013,1.61
01-05-2013,1.61
01-06-2013,1.6
01-07-2013,1.57
01-08-2013,1.6
01-09-2013,1.63
01-10-2013,1.6
01-11-2013,1.58
01-12-2013,1.59
01-01-2014,1.61
01-02-2014,1.62
01-03-2014,1.57
01-04-2014,1.61
01-05-2014,1.59
01-06-2014,1.61
01-07-2014,1.57
01-08-2014,1.61
01-09-2014,1.61
01-10-2014,1.57
01-11-2014,1.61
01-12-2014,1.57
01-01-2015,1.6
01-02-2015,1.61
01-03-2015,1.59
01-04-2015,1.58
01-05-2015,1.59
01-06-2015,1.62
01-07-2015,1.6
01-08-2015,1.57
01-09-2015,1.6
01-10-2015,1.59
01-11-2015,1.6
01-12-2015,1.59
01-01-2016,1.57
