label,filename
0,TRAIN_00000.eml
0,TRAIN_00001.eml
1,TRAIN_00002.eml
0,TRAIN_00003.eml
0,TRAIN_00004.eml
1,TRAIN_00005.eml
1,TRAIN_00006.eml
1,TRAIN_00007.eml
1,TRAIN_00008.eml
1,TRAIN_00009.eml
1,TRAIN_00010.eml
0,TRAIN_00011.eml
1,TRAIN_00012.eml
0,TRAIN_00013.eml
0,TRAIN_00014.eml
0,TRAIN_00015.eml
1,TRAIN_00016.eml
1,TRAIN_00017.eml
1,TRAIN_00018.eml
1,TRAIN_00019.eml
1,TRAIN_00020.eml
0,TRAIN_00021.eml
0,TRAIN_00022.eml
1,TRAIN_00023.eml
0,TRAIN_00024.eml
1,TRAIN_00025.eml
1,TRAIN_00026.eml
0,TRAIN_00027.eml
1,TRAIN_00028.eml
1,TRAIN_00029.eml
1,TRAIN_00030.eml
0,TRAIN_00031.eml
1,TRAIN_00032.eml
0,TRAIN_00033.eml
1,TRAIN_00034.eml
1,TRAIN_00035.eml
1,TRAIN_00036.eml
1,TRAIN_00037.eml
0,TRAIN_00038.eml
1,TRAIN_00039.eml
0,TRAIN_00040.eml
0,TRAIN_00041.eml
0,TRAIN_00042.eml
1,TRAIN_00043.eml
0,TRAIN_00044.eml
1,TRAIN_00045.eml
1,TRAIN_00046.eml
1,TRAIN_00047.eml
1,TRAIN_00048.eml
1,TRAIN_00049.eml
0,TRAIN_00050.eml
1,TRAIN_00051.eml
1,TRAIN_00052.eml
1,TRAIN_00053.eml
0,TRAIN_00054.eml
1,TRAIN_00055.eml
1,TRAIN_00056.eml
1,TRAIN_00057.eml
1,TRAIN_00058.eml
0,TRAIN_00059.eml
0,TRAIN_00060.eml
1,TRAIN_00061.eml
1,TRAIN_00062.eml
1,TRAIN_00063.eml
1,TRAIN_00064.eml
0,TRAIN_00065.eml
1,TRAIN_00066.eml
0,TRAIN_00067.eml
0,TRAIN_00068.eml
1,TRAIN_00069.eml
1,TRAIN_00070.eml
1,TRAIN_00071.eml
0,TRAIN_00072.eml
0,TRAIN_00073.eml
1,TRAIN_00074.eml
0,TRAIN_00075.eml
0,TRAIN_00076.eml
1,TRAIN_00077.eml
1,TRAIN_00078.eml
1,TRAIN_00079.eml
0,TRAIN_00080.eml
1,TRAIN_00081.eml
0,TRAIN_00082.eml
1,TRAIN_00083.eml
1,TRAIN_00084.eml
1,TRAIN_00085.eml
1,TRAIN_00086.eml
1,TRAIN_00087.eml
1,TRAIN_00088.eml
1,TRAIN_00089.eml
1,TRAIN_00090.eml
1,TRAIN_00091.eml
0,TRAIN_00092.eml
0,TRAIN_00093.eml
1,TRAIN_00094.eml
1,TRAIN_00095.eml
1,TRAIN_00096.eml
0,TRAIN_00097.eml
1,TRAIN_00098.eml
0,TRAIN_00099.eml
0,TRAIN_00100.eml
1,TRAIN_00101.eml
1,TRAIN_00102.eml
1,TRAIN_00103.eml
0,TRAIN_00104.eml
0,TRAIN_00105.eml
1,TRAIN_00106.eml
0,TRAIN_00107.eml
0,TRAIN_00108.eml
1,TRAIN_00109.eml
0,TRAIN_00110.eml
1,TRAIN_00111.eml
1,TRAIN_00112.eml
1,TRAIN_00113.eml
0,TRAIN_00114.eml
1,TRAIN_00115.eml
0,TRAIN_00116.eml
1,TRAIN_00117.eml
1,TRAIN_00118.eml
1,TRAIN_00119.eml
0,TRAIN_00120.eml
0,TRAIN_00121.eml
0,TRAIN_00122.eml
0,TRAIN_00123.eml
0,TRAIN_00124.eml
1,TRAIN_00125.eml
1,TRAIN_00126.eml
1,TRAIN_00127.eml
1,TRAIN_00128.eml
1,TRAIN_00129.eml
1,TRAIN_00130.eml
1,TRAIN_00131.eml
0,TRAIN_00132.eml
1,TRAIN_00133.eml
1,TRAIN_00134.eml
1,TRAIN_00135.eml
1,TRAIN_00136.eml
0,TRAIN_00137.eml
1,TRAIN_00138.eml
1,TRAIN_00139.eml
1,TRAIN_00140.eml
1,TRAIN_00141.eml
0,TRAIN_00142.eml
1,TRAIN_00143.eml
0,TRAIN_00144.eml
1,TRAIN_00145.eml
0,TRAIN_00146.eml
1,TRAIN_00147.eml
1,TRAIN_00148.eml
1,TRAIN_00149.eml
1,TRAIN_00150.eml
0,TRAIN_00151.eml
1,TRAIN_00152.eml
0,TRAIN_00153.eml
1,TRAIN_00154.eml
0,TRAIN_00155.eml
1,TRAIN_00156.eml
1,TRAIN_00157.eml
1,TRAIN_00158.eml
1,TRAIN_00159.eml
1,TRAIN_00160.eml
1,TRAIN_00161.eml
1,TRAIN_00162.eml
0,TRAIN_00163.eml
1,TRAIN_00164.eml
1,TRAIN_00165.eml
0,TRAIN_00166.eml
1,TRAIN_00167.eml
1,TRAIN_00168.eml
1,TRAIN_00169.eml
0,TRAIN_00170.eml
1,TRAIN_00171.eml
1,TRAIN_00172.eml
1,TRAIN_00173.eml
1,TRAIN_00174.eml
1,TRAIN_00175.eml
0,TRAIN_00176.eml
1,TRAIN_00177.eml
1,TRAIN_00178.eml
1,TRAIN_00179.eml
1,TRAIN_00180.eml
1,TRAIN_00181.eml
1,TRAIN_00182.eml
1,TRAIN_00183.eml
1,TRAIN_00184.eml
1,TRAIN_00185.eml
1,TRAIN_00186.eml
0,TRAIN_00187.eml
0,TRAIN_00188.eml
1,TRAIN_00189.eml
0,TRAIN_00190.eml
1,TRAIN_00191.eml
1,TRAIN_00192.eml
0,TRAIN_00193.eml
0,TRAIN_00194.eml
1,TRAIN_00195.eml
1,TRAIN_00196.eml
1,TRAIN_00197.eml
0,TRAIN_00198.eml
0,TRAIN_00199.eml
0,TRAIN_00200.eml
0,TRAIN_00201.eml
0,TRAIN_00202.eml
1,TRAIN_00203.eml
1,TRAIN_00204.eml
1,TRAIN_00205.eml
1,TRAIN_00206.eml
1,TRAIN_00207.eml
0,TRAIN_00208.eml
1,TRAIN_00209.eml
1,TRAIN_00210.eml
1,TRAIN_00211.eml
1,TRAIN_00212.eml
0,TRAIN_00213.eml
1,TRAIN_00214.eml
0,TRAIN_00215.eml
0,TRAIN_00216.eml
0,TRAIN_00217.eml
0,TRAIN_00218.eml
1,TRAIN_00219.eml
0,TRAIN_00220.eml
0,TRAIN_00221.eml
1,TRAIN_00222.eml
0,TRAIN_00223.eml
0,TRAIN_00224.eml
1,TRAIN_00225.eml
0,TRAIN_00226.eml
0,TRAIN_00227.eml
1,TRAIN_00228.eml
1,TRAIN_00229.eml
0,TRAIN_00230.eml
0,TRAIN_00231.eml
1,TRAIN_00232.eml
1,TRAIN_00233.eml
1,TRAIN_00234.eml
0,TRAIN_00235.eml
1,TRAIN_00236.eml
1,TRAIN_00237.eml
1,TRAIN_00238.eml
1,TRAIN_00239.eml
1,TRAIN_00240.eml
1,TRAIN_00241.eml
0,TRAIN_00242.eml
1,TRAIN_00243.eml
1,TRAIN_00244.eml
1,TRAIN_00245.eml
1,TRAIN_00246.eml
1,TRAIN_00247.eml
0,TRAIN_00248.eml
1,TRAIN_00249.eml
1,TRAIN_00250.eml
1,TRAIN_00251.eml
1,TRAIN_00252.eml
1,TRAIN_00253.eml
0,TRAIN_00254.eml
0,TRAIN_00255.eml
1,TRAIN_00256.eml
0,TRAIN_00257.eml
0,TRAIN_00258.eml
1,TRAIN_00259.eml
0,TRAIN_00260.eml
1,TRAIN_00261.eml
1,TRAIN_00262.eml
1,TRAIN_00263.eml
1,TRAIN_00264.eml
0,TRAIN_00265.eml
1,TRAIN_00266.eml
0,TRAIN_00267.eml
1,TRAIN_00268.eml
1,TRAIN_00269.eml
1,TRAIN_00270.eml
1,TRAIN_00271.eml
1,TRAIN_00272.eml
0,TRAIN_00273.eml
1,TRAIN_00274.eml
1,TRAIN_00275.eml
1,TRAIN_00276.eml
1,TRAIN_00277.eml
0,TRAIN_00278.eml
1,TRAIN_00279.eml
