"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @mehdihaa: 75 #BigData Terms: https://t.co/zrhyJcFDj7 #DataScience #MachineLearning #AI #DB #algorithms https://t.co/MvFda0YAdb",FALSE,0,NA,2017-06-17 18:02:11,FALSE,NA,"876137916472348673",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chidambara09",2,TRUE,FALSE,NA,NA
"2","RT @_Data_Science_: #DataScience: Difference between Machine Learning, Data Science, AI, Deep Learning,... #AI https://t.co/FrZdW5Lnzb http…",FALSE,0,NA,2017-06-17 18:02:07,FALSE,NA,"876137897652572164",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cdagues",24,TRUE,FALSE,NA,NA
"3","@gp_pulipaka: A @Facebook #AI Unexpectedly Created Its Own Unique Language. #BigData #DeepLearning #MachineLearning #DataScience 
https:…",FALSE,1,"gp_pulipaka",2017-06-17 18:02:06,FALSE,NA,"876137894515286016","4263007693","<a href=""http://www.kebliny.pl"" rel=""nofollow"">Jozek3_test</a>","McMcgregory",0,FALSE,FALSE,NA,NA
"4","RT @ipfconline1: 50 Useful #MachineLearning and #DataScience Resources + Articles
https://t.co/BUqmjaoTOV [via @DataScienceCtrl @dataiku]
#…",FALSE,0,NA,2017-06-17 18:02:05,FALSE,NA,"876137889771307008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","messageboardusa",23,TRUE,FALSE,NA,NA
"5","RT @arunravin: What the Data Scientist brings to the B2B arena https://t.co/73Xzn1zwZt #DataScience #Bigdata #MachineLearning",FALSE,0,NA,2017-06-17 18:02:00,FALSE,NA,"876137869319872513",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chidambara09",3,TRUE,FALSE,NA,NA
"6","RT @_Data_Science_: #DataScience: Data Preprocessing and Data Wrangling in Machine Learni... #MachineLearning https://t.co/PdgJwVrhMx",FALSE,0,NA,2017-06-17 18:01:59,FALSE,NA,"876137866132377601",NA,"<a href=""https://twitter.com/alevergara78"" rel=""nofollow"">realtimeApp_reactjs</a>","alevergara78",1,TRUE,FALSE,NA,NA
"7","All my talks in one place (plus a Hugo walkthrough!) https://t.co/K7GZrd7Dwm #rstats #DataScience",FALSE,0,NA,2017-06-17 18:01:59,FALSE,NA,"876137865088028672",NA,"<a href=""http://www.r-bloggers.com"" rel=""nofollow"">r-bloggers.com</a>","Rbloggers",0,FALSE,FALSE,NA,NA
"8","RT @BrianDColwell: What is #datascience?
#Bigdata
#analytics
#makeyourownlane
#defstar5
#cloud
#startups
#Mpgvip
#AI
#ML
#DL
#NLP
#datascie…",FALSE,0,NA,2017-06-17 18:01:54,FALSE,NA,"876137842363305984",NA,"<a href=""https://twitter.com"" rel=""nofollow"">harris1nonly</a>","harris1nonly",42,TRUE,FALSE,NA,NA
"9","RT @bobehayes: How #HR Managers Use #DataScience to Manage Talent for Their Companies https://t.co/5R4r2Zqr4t https://t.co/ZCgYb8jMSN",FALSE,0,NA,2017-06-17 18:01:50,FALSE,NA,"876137828937289729",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JohnBallardPhD",5,TRUE,FALSE,NA,NA
"10","RT @KirkDBorne: Data quality, staffing issues still plague analytics efforts: https://t.co/x3TJVHbD9M #BigData #DataScience #DataScientists…",FALSE,0,NA,2017-06-17 18:01:39,FALSE,NA,"876137781449424897",NA,"<a href=""http://www.uoc.es"" rel=""nofollow"">Pruebas Pythin</a>","fernandocuenca",12,TRUE,FALSE,NA,NA
"11","RT @KirkDBorne: Data quality, staffing issues still plague analytics efforts: https://t.co/x3TJVHbD9M #BigData #DataScience #DataScientists…",FALSE,0,NA,2017-06-17 18:01:38,FALSE,NA,"876137776676311040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ALI_Alhumaid",12,TRUE,FALSE,NA,NA
"12","How are parameters estimated in logistic regression ?
#MachineLearning #DataScience #machinelearningflashcards",FALSE,0,NA,2017-06-17 18:01:18,FALSE,NA,"876137692790009856",NA,"<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","dj_shaily",0,FALSE,FALSE,NA,NA
"13","RT @jose_garde: The limits of data science in building #Diversity in the workplace https://t.co/ErS4CzwF6u #DataScience https://t.co/Xs7GrH…",FALSE,0,NA,2017-06-17 18:01:14,FALSE,NA,"876137676654686209",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ajmuguia",5,TRUE,FALSE,NA,NA
"14","#DataScience: Data Preprocessing and Data Wrangling in Machine Learni... #MachineLearning https://t.co/PdgJwVrhMx",FALSE,0,NA,2017-06-17 18:01:10,FALSE,NA,"876137661349736448",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","_Data_Science_",1,FALSE,FALSE,NA,NA
"15","RT @KirkDBorne: 5 ways #BigData is transforming the way epidemics are approached
https://t.co/E6iZulavgL #DataScience #MachineLearning
+one…",FALSE,0,NA,2017-06-17 18:00:57,FALSE,NA,"876137603401224192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","StrategyFintech",3,TRUE,FALSE,NA,NA
"16","RT @KirkDBorne: 5 ways #BigData is transforming the way epidemics are approached
https://t.co/E6iZulavgL #DataScience #MachineLearning
+one…",FALSE,0,NA,2017-06-17 18:00:46,FALSE,NA,"876137560048881666",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","Avi_Goldberg",3,TRUE,FALSE,NA,NA
"17","RT @techiexpert: What is #IoT #Attack ?
10 things you need to know ...

#CyberSecurity 
#infosec 
#DDoS 
#DataScience 
#Hacking 
#IIoT http…",FALSE,0,NA,2017-06-17 18:00:45,FALSE,NA,"876137554604457984",NA,"<a href=""https://www.home.com"" rel=""nofollow"">TwitBoting</a>","InfoSecurity99",2,TRUE,FALSE,NA,NA
"18","Twitterwonk Model: Primary &amp; General Election https://t.co/INUNHXHlUX #python #code #data #datascience #pandas #learn",FALSE,0,NA,2017-06-17 18:00:41,FALSE,NA,"876137539526164486",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","andrewshamlet",0,FALSE,FALSE,NA,NA
"19","RT @BrianDColwell: What is #datascience?
#Bigdata
#analytics
#makeyourownlane
#defstar5
#cloud
#startups
#Mpgvip
#AI
#ML
#DL
#NLP
#datascie…",FALSE,0,NA,2017-06-17 18:00:36,FALSE,NA,"876137518818787328",NA,"<a href=""https://twitter.com"" rel=""nofollow"">Scoolascoola4</a>","scoolascoola4",42,TRUE,FALSE,NA,NA
"20","Image Data Prep for #DeepLearning https://t.co/PDm4ws8XJn #datascience #python #opencv https://t.co/AGYYDBpjBW",FALSE,0,NA,2017-06-17 18:00:20,FALSE,NA,"876137451366088706",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","GavLaaaaaaaa",0,FALSE,FALSE,NA,NA
"21","RT @techiexpert: What is #IoT #Attack ?
10 things you need to know ...

#CyberSecurity 
#infosec 
#DDoS 
#DataScience 
#Hacking 
#IIoT http…",FALSE,0,NA,2017-06-17 18:00:15,FALSE,NA,"876137429345869824",NA,"<a href=""http://www.google.com"" rel=""nofollow"">twiteebo</a>","sectest9",2,TRUE,FALSE,NA,NA
"22","5 ways #BigData is transforming the way epidemics are approached
https://t.co/E6iZulavgL #DataScience… https://t.co/xkVmNHaZu9",FALSE,1,NA,2017-06-17 18:00:07,TRUE,NA,"876137395904819203",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KirkDBorne",3,FALSE,FALSE,NA,NA
"23","@BrianDColwell: Logical overlaps of #AI #DataMining #MachineLearning #Statistics #DataScience #Database #businessintelligence By @MikeQu…",FALSE,0,"BrianDColwell",2017-06-17 18:00:06,FALSE,NA,"876137389659475972","3244415634","<a href=""http://www.kebliny.pl"" rel=""nofollow"">Jozek3_test</a>","McMcgregory",0,FALSE,FALSE,NA,NA
"24","Have we bridged the gap between #DataScience &amp; #DevOps? Great article from @JAXenterCOM https://t.co/RaEQlaTg63",FALSE,0,NA,2017-06-17 18:00:05,FALSE,NA,"876137386899582977",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","ContinuumIO",0,FALSE,FALSE,NA,NA
"25","RT @BrianDColwell: What is #datascience?
#Bigdata
#analytics
#makeyourownlane
#defstar5
#cloud
#startups
#Mpgvip
#AI
#ML
#DL
#NLP
#datascie…",FALSE,0,NA,2017-06-17 18:00:00,FALSE,NA,"876137365475086336",NA,"<a href=""https://twitter.com"" rel=""nofollow"">citybridge1</a>","Ys_FVMG",42,TRUE,FALSE,NA,NA
"26","RT @KirkDBorne: How Bad Data Alters #MachineLearning Results: https://t.co/BK4hai4B7r #BigData #DataScience #AI #DeepLearning #algorithms",FALSE,0,NA,2017-06-17 17:59:59,FALSE,NA,"876137361834475520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Benavent",5,TRUE,FALSE,NA,NA
"27","RT @ipfconline1: 50 Useful #MachineLearning and #DataScience Resources + Articles
https://t.co/BUqmjaoTOV [via @DataScienceCtrl @dataiku]
#…",FALSE,0,NA,2017-06-17 17:59:44,FALSE,NA,"876137300157235200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","inabeaufort",23,TRUE,FALSE,NA,NA
"28","RT @BrianDColwell: What is #datascience?
#Bigdata
#analytics
#makeyourownlane
#defstar5
#cloud
#startups
#Mpgvip
#AI
#ML
#DL
#NLP
#datascie…",FALSE,0,NA,2017-06-17 17:59:43,FALSE,NA,"876137294914359297",NA,"<a href=""https://twitter.com"" rel=""nofollow"">modamessiah</a>","MoDaMessiah",42,TRUE,FALSE,NA,NA
"29","RT @jose_garde: The limits of data science in building #Diversity in the workplace https://t.co/ErS4CzwF6u #DataScience https://t.co/Xs7GrH…",FALSE,0,NA,2017-06-17 17:59:33,FALSE,NA,"876137251775926272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MikelErecheta",5,TRUE,FALSE,NA,NA
