"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#GST #GSTCouncil #PMModi https://t.co/9wqCMJdmhi",FALSE,0,NA,2017-07-01 10:30:01,FALSE,NA,"881097552803876865",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NewsStateHindi",0,FALSE,FALSE,NA,NA
"2","RT @DtPiyu: #GST Aawo Padhaaro Mhaare Des������

May Our MotherLand #India Touch The Heights Of Glory &amp; Success Again!
������������

#WelcomeGST #OneNatio…",FALSE,0,NA,2017-07-01 10:30:00,FALSE,NA,"881097551637819392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prabhat5singh",9,TRUE,FALSE,NA,NA
"3","RT @tweet2el: What a U-turn from all those who opposed #GST under MMS &amp; now trying to tell us to accept it silently bcoz Modi eff'd it for…",FALSE,0,NA,2017-07-01 10:30:00,FALSE,NA,"881097550937423873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AAKASHPUNHANI",1,TRUE,FALSE,NA,NA
"4","1 जनवरी से सिनेमाघरों और एयरपोर्ट पर लूट बंद, ग्राहकों को होगा फायदा https://t.co/dJdn0S7Tsp #CinemaHalls #Airport… https://t.co/GpFk3zaBMy",FALSE,0,NA,2017-07-01 10:30:00,TRUE,NA,"881097550631100417",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","punjabkesari",0,FALSE,FALSE,NA,NA
"5","#ManmohanSingh’s 1991 budget was biggest #reform. #GST deals with just one indirect tax: #YashwantSinha 
https://t.co/BMCnd48fbp",FALSE,0,NA,2017-07-01 10:30:00,FALSE,NA,"881097550199214082",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","EconomicTimes",0,FALSE,FALSE,NA,NA
"6","पुण्यातील सिंगल स्क्रिन चित्रपटगृहे बंद; जीएसटीमुळे चित्रपटगृहचालक संभ्रमावस्थेत https://t.co/yrlFEwUIJD #GST… https://t.co/8BzpOrQnHq",FALSE,0,NA,2017-07-01 10:30:00,TRUE,NA,"881097550048002049",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","eSakalUpdate",0,FALSE,FALSE,NA,NA
"7","RT @RakeshSinha01: Anti-RSSism combined with anti-Modism led pseudo seculars to undermine nation, culture and even #GST ,a revolutionary pr…",FALSE,0,NA,2017-07-01 10:30:00,FALSE,NA,"881097550039830528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vijaynairkb",267,TRUE,FALSE,NA,NA
"8","Got weekend plans? You need to go through this #GST checklist before that
https://t.co/qBrans98is https://t.co/IOc2F6j42C",FALSE,0,NA,2017-07-01 10:30:00,FALSE,NA,"881097549238517760",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ET_Wealth",0,FALSE,FALSE,NA,NA
"9","RT @Perfect_Romeo: जवानी में बस आवारापंती कि ना वो अब बुढऊ को याद आ रही क्यों कि पढ़ा होता तो आज #GST का मतलब तो समज पाता अनपढ़ बुढऊ✊ https…",FALSE,0,NA,2017-07-01 10:29:58,FALSE,NA,"881097539285643264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SarojShrnM",139,TRUE,FALSE,NA,NA
"10","RT @NakuulMehta: Shaving creams to cost more courtesy #GST . Guess the beard has gotto stay! https://t.co/vNHzuwF4Eo",FALSE,0,NA,2017-07-01 10:29:57,FALSE,NA,"881097538224492544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HiiHattersAisha",234,TRUE,FALSE,NA,NA
