"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","How to Bill Customer for the Services Done?
#GST #Business #Bill. https://t.co/YPGz4mc3HD",FALSE,1,NA,2017-07-13 12:24:25,FALSE,NA,"885474996973322240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AcTouchTech",0,FALSE,FALSE,NA,NA
"2","RT @IndianExpress: SFI activists post sanitary pads to Finance Minister @arunjaitley , demands roll back of 12% #GST on pads 
https://t.co/…",FALSE,0,NA,2017-07-13 12:24:04,FALSE,NA,"885474910562385920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Naisarg8",4,TRUE,FALSE,NA,NA
"3","RT @vivekagnihotri: #GST has failed. https://t.co/3r0YOF2M6a",FALSE,0,NA,2017-07-13 12:24:01,FALSE,NA,"885474895785807873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnshuRathore99",84,TRUE,FALSE,NA,NA
"4","#Hostel fee in #educationalinstitutions exempt under #GST: #Government
https://t.co/E2RHeFz1nG
#Business https://t.co/iHYB9GuBac",FALSE,0,NA,2017-07-13 12:23:57,FALSE,NA,"885474880589836288",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","VishvaTimes",0,FALSE,FALSE,NA,NA
"5","RT @INCIndia: .@ShashiTharoor critiques the BJP-fied #GST 
https://t.co/INjFJoUSqO",FALSE,0,NA,2017-07-13 12:23:45,FALSE,NA,"885474830157402112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AadithINC",236,TRUE,FALSE,NA,NA
"6","#वाराणसी: #GST में शामिल होने के विरोध में बुनकरों का धरना, तीसरे दिन भी प्रदर्शन जारी https://t.co/Rh1biIOOfe",FALSE,0,NA,2017-07-13 12:23:40,FALSE,NA,"885474810263879681",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sundayheadline",0,FALSE,FALSE,NA,NA
"7","RT @BaniyaTweets: 1 झटके में #GST और #चीन दोनों खत्म, यही है #मोदी_मैजिक",FALSE,0,NA,2017-07-13 12:23:31,FALSE,NA,"885474772989034496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LuQmanDear1",18,TRUE,FALSE,NA,NA
"8","RT @saffron_lioness: गीता और उपनिषद् पढने का असर अब दिखने लगा है
जो @OfficeOfRG शोक संदेश भी नकल मारकर लिखता था 
वो आज #GST का प्रचंड अर्थ…",FALSE,0,NA,2017-07-13 12:23:21,FALSE,NA,"885474730119057409",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Indian_topgun",169,TRUE,FALSE,NA,NA
"9","RT @maulinshah9: Ab ki bar #GST par sab se saral sawal! @rkhuria @i_me_my5elf  @sdsanddunes @KilaFateh @gops333 @kavita_kochar @Rajivmehra2…",FALSE,0,NA,2017-07-13 12:23:21,FALSE,NA,"885474730098274304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","khan96faiz",24,TRUE,FALSE,NA,NA
"10","RT @IndianExpress: SFI activists post sanitary pads to Finance Minister @arunjaitley , demands roll back of 12% #GST on pads 
https://t.co/…",FALSE,0,NA,2017-07-13 12:23:19,FALSE,NA,"885474720472330240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amitzijoo",4,TRUE,FALSE,NA,NA
