"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @TheHockeyIndia: PM @narendramodi urges the people to promote Hockey in our nation and make sports a part of their daily life. Read: htt…",FALSE,0,NA,2017-07-02 02:26:20,FALSE,NA,"881338219878424576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","deep_filmmaker",60,TRUE,FALSE,NA,NA
"2","RT @TheHockeyIndia: PM @narendramodi urges the people to promote Hockey in our nation and make sports a part of their daily life. Read: htt…",FALSE,0,NA,2017-07-02 02:22:51,FALSE,NA,"881337343113928704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bhavinc35237457",60,TRUE,FALSE,NA,NA
"3","RT @TheHockeyIndia: Ready to trade blows! A look at the best moments from the Indian eves boxing &amp; kickboxing session on 28th June. https:/…",FALSE,0,NA,2017-07-02 01:43:54,FALSE,NA,"881327541377798146",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DepIsec",15,TRUE,FALSE,NA,NA
"4","RT @TheHockeyIndia: Candid moments from the meeting between the Indian Women's Team and Olympic Boxer @MangteC on 28th June. Album: https:/…",FALSE,0,NA,2017-07-02 01:43:52,FALSE,NA,"881327530313121792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DepIsec",20,TRUE,FALSE,NA,NA
"5","RT @TheHockeyIndia: PM @narendramodi urges the people to promote Hockey in our nation and make sports a part of their daily life. Read: htt…",FALSE,0,NA,2017-07-02 01:43:19,FALSE,NA,"881327392190582785",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DepIsec",60,TRUE,FALSE,NA,NA
"6","RT @virendersehwag: Congratulations @TheHockeyIndia on a great 6-1 victory over Pakistan in #WorldHockeyLeague semi finals. Really proud of…",FALSE,0,NA,2017-07-02 01:42:56,FALSE,NA,"881327295557971968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","muditkumar9719",2573,TRUE,FALSE,NA,NA
"7","RT @TheHockeyIndia: First Love! @imranirampal talks on why she chose Hockey over other popular sports. Read: https://t.co/xyFuChwD7C

#Indi…",FALSE,0,NA,2017-07-02 01:42:53,FALSE,NA,"881327284413706240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DepIsec",11,TRUE,FALSE,NA,NA
"8","RT @TheHockeyIndia: Here's a good read about how the current programme implemented in Hockey will help India achieve success soon. https://…",FALSE,0,NA,2017-07-02 01:42:29,FALSE,NA,"881327184736129024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DepIsec",20,TRUE,FALSE,NA,NA
"9","RT @sachin_rt: Congratulations to @TheHockeyIndia team on their emphatic victory over Pakistan in the #HockeyWorldLeague2017. Keep it going!",FALSE,0,NA,2017-07-02 01:37:37,FALSE,NA,"881325958405423105",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","muditkumar9719",2773,TRUE,FALSE,NA,NA
"10","RT @virendersehwag: Congratulations @TheHockeyIndia on a great 6-1 victory over Pakistan in #WorldHockeyLeague semi finals. Really proud of…",FALSE,0,NA,2017-07-02 01:31:17,FALSE,NA,"881324363009720320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ArjunSi88666595",2573,TRUE,FALSE,NA,NA
"11","RT @TheHockeyIndia: PM @narendramodi urges the people to promote Hockey in our nation and make sports a part of their daily life. Read: htt…",FALSE,0,NA,2017-07-01 22:42:03,FALSE,NA,"881281776232128512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PranayS1NGH",60,TRUE,FALSE,NA,NA
"12","RT @NigelIrvine: Months later and still geoblocked! No way to promote the game in Aus. #showusthehockey @FIH_Hockey @TheHockeyIndia  https:…",FALSE,0,NA,2017-07-01 21:52:51,FALSE,NA,"881269392507523072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IRVINENP",1,TRUE,FALSE,NA,NA
"13","RT @TheHockeyIndia: Ready to trade blows! A look at the best moments from the Indian eves boxing &amp; kickboxing session on 28th June. https:/…",FALSE,0,NA,2017-07-01 21:16:46,FALSE,NA,"881260314162937856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jayzik807",15,TRUE,FALSE,NA,NA
"14","RT @TheHockeyIndia: PM @narendramodi urges the people to promote Hockey in our nation and make sports a part of their daily life. Read: htt…",FALSE,0,NA,2017-07-01 21:16:40,FALSE,NA,"881260289806614528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jayzik807",60,TRUE,FALSE,NA,NA
"15","RT @MohammadKaif: Congratulations @TheHockeyIndia on
defeating Pakistan comprehensively 6-1 in the Hockey World League semi final. Great ef…",FALSE,0,NA,2017-07-01 21:09:37,FALSE,NA,"881258516102688769",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","nomanaziz83",230,TRUE,FALSE,NA,NA
"16","RT @TheHockeyIndia: PM @narendramodi urges the people to promote Hockey in our nation and make sports a part of their daily life. Read: htt…",FALSE,0,NA,2017-07-01 21:09:01,FALSE,NA,"881258361546657792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","verycoolnischi",60,TRUE,FALSE,NA,NA
"17","RT @TheHockeyIndia: PM @narendramodi urges the people to promote Hockey in our nation and make sports a part of their daily life. Read: htt…",FALSE,0,NA,2017-07-01 21:05:04,FALSE,NA,"881257368939614208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ashi_n007",60,TRUE,FALSE,NA,NA
"18","RT @SA_Hockey: The Indian Hockey Ladies have arrived������welcome to SA @TheHockeyIndia ������������ #HWL2017 To catch them live, buy tickets here https:/…",FALSE,0,NA,2017-07-01 20:22:11,FALSE,NA,"881246576877993984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YanaArlow",3,TRUE,FALSE,NA,NA
"19","RT @TheHockeyIndia: PM @narendramodi urges the people to promote Hockey in our nation and make sports a part of their daily life. Read: htt…",FALSE,0,NA,2017-07-01 20:05:39,FALSE,NA,"881242417885741059",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ankitpatle20",60,TRUE,FALSE,NA,NA
"20","RT @TheHockeyIndia: Candid moments from the meeting between the Indian Women's Team and Olympic Boxer @MangteC on 28th June. Album: https:/…",FALSE,0,NA,2017-07-01 19:59:46,FALSE,NA,"881240937984212992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MurgMakhaniRox",20,TRUE,FALSE,NA,NA
"21","RT @NarendraModi98: #HWL2017 #INDvPAK
भारत ने पाकिस्तान को 6-1 से हराया! इस शानदार जीत के लिए @TheHockeyIndia को ढेरों बधाई������✌️",FALSE,0,NA,2017-07-01 19:55:41,FALSE,NA,"881239909742268417",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TN6qXbpN4GBZAQ8",105,TRUE,FALSE,NA,NA
"22","RT @TheHockeyIndia: PM @narendramodi urges the people to promote Hockey in our nation and make sports a part of their daily life. Read: htt…",FALSE,0,NA,2017-07-01 19:40:04,FALSE,NA,"881235979901829120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","natuskar",60,TRUE,FALSE,NA,NA
"23","@TheHockeyIndia @FIH_Hockey @IndiaSports @Media_SAI @DelhiTimesTweet @SjoerdMarijne  https://t.co/nZePsVVTIP",FALSE,0,"TheHockeyIndia",2017-07-01 19:12:46,FALSE,"881129355434377216","881229109531099136","625438569","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","seemasingh1012",0,FALSE,FALSE,NA,NA
"24","RT @TheHockeyIndia: Ready to trade blows! A look at the best moments from the Indian eves boxing &amp; kickboxing session on 28th June. https:/…",FALSE,0,NA,2017-07-01 19:10:17,FALSE,NA,"881228482377768960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","seemasingh1012",15,TRUE,FALSE,NA,NA
"25","RT @TheHockeyIndia: Candid moments from the meeting between the Indian Women's Team and Olympic Boxer @MangteC on 28th June. Album: https:/…",FALSE,0,NA,2017-07-01 18:28:20,FALSE,NA,"881217924379189248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","twitsportsindia",20,TRUE,FALSE,NA,NA
"26","RT @TheHockeyIndia: PM @narendramodi urges the people to promote Hockey in our nation and make sports a part of their daily life. Read: htt…",FALSE,0,NA,2017-07-01 18:26:50,FALSE,NA,"881217548687200257",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vikasgreat336",60,TRUE,FALSE,NA,NA
"27","RT @TheHockeyIndia: Here's a good read about how the current programme implemented in Hockey will help India achieve success soon. https://…",FALSE,0,NA,2017-07-01 18:25:59,FALSE,NA,"881217335557627904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ankan1980",20,TRUE,FALSE,NA,NA
"28","RT @TheHockeyIndia: PM @narendramodi urges the people to promote Hockey in our nation and make sports a part of their daily life. Read: htt…",FALSE,0,NA,2017-07-01 18:25:30,FALSE,NA,"881217212790525956",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tjsaggu",60,TRUE,FALSE,NA,NA
"29","RT @TheHockeyIndia: PM @narendramodi urges the people to promote Hockey in our nation and make sports a part of their daily life. Read: htt…",FALSE,0,NA,2017-07-01 18:16:42,FALSE,NA,"881214996536938496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ankan1980",60,TRUE,FALSE,NA,NA
"30","@virendersehwag @TheHockeyIndia 180 
180
180 
180 
Lolx",FALSE,0,"virendersehwag",2017-07-01 18:11:42,FALSE,"878674449720987649","881213741471326209","92724677","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mianmanan6",0,FALSE,FALSE,NA,NA
"31","RT @TheHockeyIndia: PM @narendramodi urges the people to promote Hockey in our nation and make sports a part of their daily life. Read: htt…",FALSE,0,NA,2017-07-01 18:05:10,FALSE,NA,"881212094447665152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sumitsharma330",60,TRUE,FALSE,NA,NA
"32","RT @SA_Hockey: Wonderful to have the @TheHockeyIndia Ladiesin Jozi - welcome ladies https://t.co/ncX6sr1FMk",FALSE,0,NA,2017-07-01 18:01:13,FALSE,NA,"881211100209008641",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prissy01",4,TRUE,FALSE,NA,NA
"33","RT @SA_Hockey: The Indian Hockey Ladies have arrived������welcome to SA @TheHockeyIndia ������������ #HWL2017 To catch them live, buy tickets here https:/…",FALSE,0,NA,2017-07-01 17:55:28,FALSE,NA,"881209653790732288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KeenanDuToit",3,TRUE,FALSE,NA,NA
"34","RT @rajeshkalra: India probably has the highest no of intl certified turfs in the world now, says @TheHockeyIndia CEO Elena Norman https://…",FALSE,0,NA,2017-07-01 17:47:14,FALSE,NA,"881207582446067712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VijayPadiyar",5,TRUE,FALSE,NA,NA
"35","RT @TheHockeyIndia: PM @narendramodi urges the people to promote Hockey in our nation and make sports a part of their daily life. Read: htt…",FALSE,0,NA,2017-07-01 17:44:29,FALSE,NA,"881206891740672000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pritpal66",60,TRUE,FALSE,NA,NA
"36","RT @SA_Hockey: The Indian Hockey Ladies have arrived������welcome to SA @TheHockeyIndia ������������ #HWL2017 To catch them live, buy tickets here https:/…",FALSE,0,NA,2017-07-01 17:42:01,FALSE,NA,"881206269448794113",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EnhancedSports",3,TRUE,FALSE,NA,NA
"37","The Indian Hockey Ladies have arrived������welcome to SA @TheHockeyIndia ������������ #HWL2017 To catch them live, buy tickets her… https://t.co/17zPUvY17x",FALSE,8,NA,2017-07-01 17:40:05,TRUE,NA,"881205782083141636",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SA_Hockey",3,FALSE,FALSE,NA,NA
"38","RT @rajeshkalra: India probably has the highest no of intl certified turfs in the world now, says @TheHockeyIndia CEO Elena Norman https://…",FALSE,0,NA,2017-07-01 17:38:52,FALSE,NA,"881205476129619968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ENAO2",5,TRUE,FALSE,NA,NA
"39","RT @sachin_rt: Congratulations to @TheHockeyIndia team on their emphatic victory over Pakistan in the #HockeyWorldLeague2017. Keep it going!",FALSE,0,NA,2017-07-01 17:23:24,FALSE,NA,"881201583811252224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Natha93251536",2773,TRUE,FALSE,NA,NA
"40","RT @rajeshkalra: India probably has the highest no of intl certified turfs in the world now, says @TheHockeyIndia CEO Elena Norman https://…",FALSE,0,NA,2017-07-01 16:56:04,FALSE,NA,"881194707254038528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pickooo",5,TRUE,FALSE,NA,NA
"41","RT @rajeshkalra: India probably has the highest no of intl certified turfs in the world now, says @TheHockeyIndia CEO Elena Norman https://…",FALSE,0,NA,2017-07-01 16:54:45,FALSE,NA,"881194375132336128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sstjournalist",5,TRUE,FALSE,NA,NA
"42","@TheHockeyIndia @narendramodi @FIH_Hockey @IndiaSports @Media_SAI @PMOIndia Urge all to focus on hockey n football… https://t.co/1xImtofVKW",FALSE,0,"TheHockeyIndia",2017-07-01 16:52:14,TRUE,"881150674590867461","881193740362104834","625438569","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","neologic007",0,FALSE,FALSE,NA,NA
"43","RT @TheHockeyIndia: PM @narendramodi urges the people to promote Hockey in our nation and make sports a part of their daily life. Read: htt…",FALSE,0,NA,2017-07-01 16:50:30,FALSE,NA,"881193307207942145",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","khembkn",60,TRUE,FALSE,NA,NA
"44","RT @TheHockeyIndia: PM @narendramodi urges the people to promote Hockey in our nation and make sports a part of their daily life. Read: htt…",FALSE,0,NA,2017-07-01 16:36:19,FALSE,NA,"881189736664223745",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mayurMg8",60,TRUE,FALSE,NA,NA
"45","RT @TheHockeyIndia: PM @narendramodi urges the people to promote Hockey in our nation and make sports a part of their daily life. Read: htt…",FALSE,0,NA,2017-07-01 16:26:56,FALSE,NA,"881187373169614848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stphnbptst",60,TRUE,FALSE,NA,NA
"46","RT @rajeshkalra: India probably has the highest no of intl certified turfs in the world now, says @TheHockeyIndia CEO Elena Norman https://…",FALSE,0,NA,2017-07-01 16:24:40,FALSE,NA,"881186804304494592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ianabil",5,TRUE,FALSE,NA,NA
"47","RT @TheHockeyIndia: PM @narendramodi urges the people to promote Hockey in our nation and make sports a part of their daily life. Read: htt…",FALSE,0,NA,2017-07-01 16:23:21,FALSE,NA,"881186473432764417",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anshika1017",60,TRUE,FALSE,NA,NA
"48","RT @TheHockeyIndia: PM @narendramodi urges the people to promote Hockey in our nation and make sports a part of their daily life. Read: htt…",FALSE,0,NA,2017-07-01 16:22:42,FALSE,NA,"881186309485809664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IndianMaher",60,TRUE,FALSE,NA,NA
"49","RT @TheHockeyIndia: PM @narendramodi urges the people to promote Hockey in our nation and make sports a part of their daily life. Read: htt…",FALSE,0,NA,2017-07-01 16:21:02,FALSE,NA,"881185889929613312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yashodhararaje",60,TRUE,FALSE,NA,NA
"50","RT @TheHockeyIndia: PM @narendramodi urges the people to promote Hockey in our nation and make sports a part of their daily life. Read: htt…",FALSE,0,NA,2017-07-01 16:20:30,FALSE,NA,"881185754453483520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PratapRaghuvava",60,TRUE,FALSE,NA,NA
"51","RT @TheHockeyIndia: PM @narendramodi urges the people to promote Hockey in our nation and make sports a part of their daily life. Read: htt…",FALSE,0,NA,2017-07-01 16:08:26,FALSE,NA,"881182719660638208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sudhanshu_agr",60,TRUE,FALSE,NA,NA
"52","RT @SA_Hockey: Wonderful to have the @TheHockeyIndia Ladiesin Jozi - welcome ladies https://t.co/ncX6sr1FMk",FALSE,0,NA,2017-07-01 15:59:17,FALSE,NA,"881180416287416320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KeenanDuToit",4,TRUE,FALSE,NA,NA
