"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@ProKabaddi rahul and anup both are best players",FALSE,0,"ProKabaddi",2017-07-02 01:29:08,FALSE,"881142865547493378","881323824259756036","1391361674","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GauravC37949946",0,FALSE,FALSE,NA,NA
"2","@MTVRoadies @RenaultIndia @ProKabaddi Cheater hai @RannvijaySingha ki gang nd @NehaDhupia ki gang..Samar is a big looser....",FALSE,0,"MTVRoadies",2017-07-02 01:26:05,FALSE,"881105115607777280","881323055313633280","374654335","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KartikSabherwa4",0,FALSE,FALSE,NA,NA
"3","RT @BengalWarriors: #AamarWarriors getting ready for @ProKabaddi Season 5. One Session at a time. #Gym #Training https://t.co/Y1O5vpOevO",FALSE,0,NA,2017-07-02 00:00:13,FALSE,NA,"881301449296269313",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","KabaddiPro",4,TRUE,FALSE,NA,NA
"4","RT @selvaku88723182: @ProKabaddi @Vivo_India Tamilnadu",FALSE,0,NA,2017-07-01 23:16:04,FALSE,NA,"881290335497986049",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","selvaku88723182",1,TRUE,FALSE,NA,NA
"5","@ProKabaddi @Vivo_India Tamilnadu",FALSE,1,"ProKabaddi",2017-07-01 23:09:14,FALSE,"880060191592529925","881288617431252992","1391361674","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","selvaku88723182",1,FALSE,FALSE,NA,NA
"6","RT @ProKabaddi: The wait's over, time to mark your Ì†ΩÌ∑ìÔ∏è! Here are all the fixtures of #VivoProKabaddi Season 5! Which Panga are you looking f‚Ä¶",FALSE,0,NA,2017-07-01 23:08:45,FALSE,NA,"881288496677142528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","selvaku88723182",166,TRUE,FALSE,NA,NA
"7","RT @ProKabaddi: Longer season = more chances of Ì†æÌ¥ï
Ajay Thakur believes fitness will be Ì†ΩÌ∑ùÔ∏è in #VivoProKabaddi Season 5! Do you agree? https:‚Ä¶",FALSE,0,NA,2017-07-01 21:52:16,FALSE,NA,"881269247707664385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nihalhaider7",10,TRUE,FALSE,NA,NA
"8","RT @ProKabaddi: The wait's over, time to mark your Ì†ΩÌ∑ìÔ∏è! Here are all the fixtures of #VivoProKabaddi Season 5! Which Panga are you looking f‚Ä¶",FALSE,0,NA,2017-07-01 21:50:39,FALSE,NA,"881268841329733632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rajesh82766325",166,TRUE,FALSE,NA,NA
"9","@ProKabaddi @StarSportsIndia @PatnaPirates will be champion once again",FALSE,0,"ProKabaddi",2017-07-01 21:39:05,FALSE,"881142865547493378","881265930373877760","1391361674","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rajnish07086767",0,FALSE,FALSE,NA,NA
"10","@ProKabaddi @StarSportsIndia @PatnaPirates champion side",FALSE,0,"ProKabaddi",2017-07-01 21:37:46,FALSE,"881142865547493378","881265597883011072","1391361674","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rajnish07086767",0,FALSE,FALSE,NA,NA
