"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Weekly Address - tune in! #MAGA <U+27A1><U+FE0F>https://t.co/hJNQcZQrbx https://t.co/x3Kw88f0De",FALSE,9230,NA,2017-06-02 23:18:46,FALSE,NA,"870781768303087616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","POTUS",2058,FALSE,FALSE,NA,NA
"2","The violent attacks in Portland on Friday are unacceptable. The victims were standing up to hate and intolerance. Our prayers are w/ them.",FALSE,55101,NA,2017-05-29 14:51:00,FALSE,NA,"869204433418280961",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS",12457,FALSE,FALSE,NA,NA
"3","Join me as I deliver the Weekly Address and read more about our Taxpayer First Budget <U+27A1><U+FE0F>https://t.co/lShUEgXOPD https://t.co/9Xqsa3czFr",FALSE,10182,NA,2017-05-26 16:48:49,FALSE,NA,"868146917171224576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","POTUS",2244,FALSE,FALSE,NA,NA
"4","""The NATO of the future must include a great focus on terrorism and immigration"" 
@POTUS @realDonaldTrump 
https://t.co/qtaHFoGXkf",FALSE,19716,NA,2017-05-25 20:25:15,FALSE,NA,"867838998802202624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS",5023,FALSE,FALSE,NA,NA
"5",".@POTUS is right: ""attack on Manchester in the UK demonstrates the depths of the evil we face with terrorism."" https://t.co/qtaHFoGXkf",FALSE,15326,NA,2017-05-25 20:23:54,FALSE,NA,"867838657767649286",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS",3651,FALSE,FALSE,NA,NA
"6",".@POTUS trip brings ""renewed hope that nations of many faiths can unite to defeat terrorism"" 
https://t.co/qtaHFoGXkf",FALSE,15294,NA,2017-05-25 20:23:21,FALSE,NA,"867838520911638528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS",3380,FALSE,FALSE,NA,NA
"7",".@POTUS stands with Manchester and the UK ""in our determination to defeat terrorism and achieve lasting security"" https://t.co/6tcy4SmQFh",FALSE,14005,NA,2017-05-25 20:22:49,FALSE,NA,"867838384009601024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","POTUS",2603,FALSE,FALSE,NA,NA
"8","New @HHSGov report shows premiums increased <ed><U+00A0><U+00BD><ed><U+00B3><U+0088> 105% under #ObamaCare. Not good! #RepealAndReplace this disaster! https://t.co/iSVqgff3eh",FALSE,13316,NA,2017-05-24 14:07:25,FALSE,NA,"867381525955956736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","POTUS",3607,FALSE,FALSE,NA,NA
"9","Our budget puts American families FIRST<U+27A1><U+FE0F>https://t.co/Uai4tSqRnC https://t.co/hIj3Bt7l7X",FALSE,15361,NA,2017-05-23 18:02:30,FALSE,NA,"867078297057984512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","POTUS",3606,FALSE,FALSE,NA,NA
"10","Our budget makes national defense a top priority by increasing defense spending <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> by $54 BILLION<U+27A1><U+FE0F><U+2026> https://t.co/uYlfH6HHwa",FALSE,14210,NA,2017-05-23 17:53:59,TRUE,NA,"867076155538628608",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","POTUS",3090,FALSE,FALSE,NA,NA
"11","We stand in absolute solidarity with the people of the United Kingdom. https://t.co/P7c8CT7Dm8",FALSE,32625,NA,2017-05-23 12:15:35,FALSE,NA,"866990994427924480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","POTUS",7302,FALSE,FALSE,NA,NA
"12","THANK YOU to all members of the Armed Forces! https://t.co/lHwkuEuAwX https://t.co/U4mzKJiyT2",FALSE,33140,NA,2017-05-20 13:32:00,FALSE,NA,"865923061928808448",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","POTUS",9134,FALSE,FALSE,NA,NA
