"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@TawdeVinod @BJP4Maharashtra @SMungantiwar @BJP4India @MahaDGIPR @IndiaSports @VijayGoelBJP गेली 7 वर्ष शिक्षक भरती… https://t.co/44yuBSpbzd",FALSE,0,"TawdeVinod",2017-07-01 16:13:17,TRUE,"881035073830518785","881183939053969408","1597860398","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SagarTalekar007",0,FALSE,FALSE,NA,NA
"2","@VijayGoelBJP @BabitaPhogat @PIB_India @PMOIndia @Dr_Uditraj @IndiaSports @ddsportschannel @DDNewsLive @MIB_India… https://t.co/ihQ5oly269",FALSE,2,"VijayGoelBJP",2017-07-01 15:52:53,TRUE,"881178156102811648","881178806442225665","459849561","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KshitijSiingh",0,FALSE,FALSE,NA,NA
"3","@TheHockeyIndia @narendramodi @FIH_Hockey @IndiaSports @PMOIndia 

Yeah,

Now we don't have faith in cricket because of commercialisation",FALSE,0,"TheHockeyIndia",2017-07-01 15:26:05,FALSE,"881150674590867461","881172059774226432","625438569","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uditmishra0506",0,FALSE,FALSE,NA,NA
"4","@Media_SAI @IndianFootball @ddsportschannel @IndiaSports @FIFAWorldCup @fifamedia @FIFAWWC @FIFATALENTSCOUT… https://t.co/IeF8ZXW6ez",FALSE,0,"Media_SAI",2017-07-01 15:16:50,TRUE,"881160205538443265","881169735165071366","2798742273","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MeraPyaraUK",0,FALSE,FALSE,NA,NA
"5","@IndianFootball @FIFAcom @FIFAWorldCup @praful_patel @VijayGoelBJP @PMOIndia @IndiaSports @narendramodi… https://t.co/BXgWYLjUp8",FALSE,2,"IndianFootball",2017-07-01 15:12:12,TRUE,"881108771350511616","881168569458843648","2238652956","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dmeister89",0,FALSE,FALSE,NA,NA
"6","@DeepaAthlete @narendramodi @IndiaSports @IrfanPathan Is that you at back?",FALSE,0,"DeepaAthlete",2017-07-01 15:08:35,FALSE,"880802182752198656","881167655943548928","1407101090","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iaamsumesh",0,FALSE,FALSE,NA,NA
"7","@TheHockeyIndia @narendramodi @FIH_Hockey @IndiaSports @Media_SAI @PMOIndia We are already supporting ur national g… https://t.co/zqAk5EkkmB",FALSE,0,"TheHockeyIndia",2017-07-01 15:01:59,TRUE,"881150674590867461","881165997872304130","625438569","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","keatcallingkiya",0,FALSE,FALSE,NA,NA
"8","@VijayGoelBJP @BabitaPhogat @Dr_Uditraj @PIB_India @Media_SAI @MIB_India @IndiaSports @PMOIndia @YASMinistry… https://t.co/Tom9x2BXZq",FALSE,0,"VijayGoelBJP",2017-07-01 14:51:33,TRUE,"881137590765854722","881163370145042433","459849561","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SKavaldar",0,FALSE,FALSE,NA,NA
"9","@uthraGC @Media_SAI @IndiaSports Mantriji will bring in hordes from Delhi 6 ������������",FALSE,1,"uthraGC",2017-07-01 14:50:40,FALSE,"881160870306250752","881163148191047680","1897174434","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Padmadeo",0,FALSE,FALSE,NA,NA
"10","@IndianFootball @FIFAcom @FIFAWorldCup @praful_patel @VijayGoelBJP @PMOIndia @IndiaSports @narendramodi… https://t.co/d0CtZ5P3Sp",FALSE,0,"IndianFootball",2017-07-01 14:48:03,TRUE,"881108771350511616","881162492159729664","2238652956","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rohitRoy_16",0,FALSE,FALSE,NA,NA
